plant_part_name,ferc_acct,utility_id_pudl,plant_id_pudl,utility_name_ferc1,row_literal,utility_id_ferc1,report_year,spplmnt_num,row_number,row_seq,row_prvlg,acct_num,plant_balance,total_life_avg,net_salvage_rate,depreciation_annual_rate,survivor_curve_type,remaining_life_avg,common
Steam-La Cygne #1,314,160,336,Kansas Gas and Electric Company,Line 16,80,2018,1,16,16,,314,43810,41.8,-0.6,2.13,200-SC,23.3,
Steam-La Cygne #1,315,160,336,Kansas Gas and Electric Company,Line 17,80,2018,1,17,17,,315,19605,32,-1.8,3.01,200-SC,23.3,
Steam-La Cygne #1,316,160,336,Kansas Gas and Electric Company,Line 18,80,2018,1,18,18,,316,2737,32.2,-0.6,2.93,200-SC,23.3,
0,316,160,,Kansas Gas and Electric Company,Line 20,80,2018,1,20,20,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 21,80,2018,1,21,21,,Steam-La Cygne #2,,0,0,0,,0,
Steam-La Cygne #2,311,160,336,Kansas Gas and Electric Company,Line 22,80,2018,1,22,22,,311,2081,36,-1.8,2.59,200-SC,23.3,
Steam-La Cygne #2,312,160,336,Kansas Gas and Electric Company,Line 23,80,2018,1,23,23,,312,8207,41.9,-1.8,2.36,200-SC,23.3,
Steam-La Cygne #2,312,160,336,Kansas Gas and Electric Company,Line 24,80,2018,1,24,24,,312.1,17,29.4,-1.8,3.31,200-SC,23.3,
Steam-La Cygne #2,312,160,336,Kansas Gas and Electric Company,Line 25,80,2018,1,25,25,,312.2,804,59.5,-0.6,1.27,200-SC,23.3,
Steam-La Cygne #2,314,160,336,Kansas Gas and Electric Company,Line 26,80,2018,1,26,26,,314,1032,44.3,-0.6,5.12,200-SC,23.3,
Steam-La Cygne #2,315,160,336,Kansas Gas and Electric Company,Line 27,80,2018,1,27,27,,315,1030,47.5,-1.9,2.08,200-SC,23.3,
Steam-La Cygne #2,316,160,336,Kansas Gas and Electric Company,Line 28,80,2018,1,28,28,,316,391,44.3,-0.6,1.94,200-SC,23.3,
0,316,160,,Kansas Gas and Electric Company,Line 30,80,2018,1,30,30,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 31,80,2018,1,31,31,,Steam-La Cygne Com.,,0,0,0,,0,TRUE
Steam-La Cygne Com.,311,160,336,Kansas Gas and Electric Company,Line 32,80,2018,1,32,32,,311,53396,27.7,-1.7,3.7,200-SC,23.3,
Steam-La Cygne Com.,312,160,336,Kansas Gas and Electric Company,Line 33,80,2018,1,33,33,,312,74223,25.2,-1.7,4,200-SC,23.3,
Steam-La Cygne Com.,312,160,336,Kansas Gas and Electric Company,Line 34,80,2018,1,34,34,,312.2,327,33.1,-0.6,2.83,200-SC,23.3,
Steam-La Cygne Com.,314,160,336,Kansas Gas and Electric Company,Line 35,80,2018,1,35,35,,314,1354,36.3,-0.6,2.5,200-SC,23.3,
Steam-La Cygne Com.,315,160,336,Kansas Gas and Electric Company,Line 36,80,2018,1,36,36,,315,1559,28.5,-1.8,3.47,200-SC,23.3,
Steam-La Cygne Com.,316,160,336,Kansas Gas and Electric Company,Line 37,80,2018,1,37,37,,316,5114,31.3,-0.6,3.07,200-SC,23.3,
0,316,160,,Kansas Gas and Electric Company,Line 40,80,2018,1,40,40,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 41,80,2018,1,41,41,,Steam-Murray Gill #3,,0,0,0,,0,
Steam-Murray Gill #3,311,160,401,Kansas Gas and Electric Company,Line 42,80,2018,1,42,42,,311,206,67.8,-0.7,-0.07,200-SC,8.9,
Steam-Murray Gill #3,312,160,401,Kansas Gas and Electric Company,Line 43,80,2018,1,43,43,,312,5101,21.7,-0.6,3.95,200-SC,8.9,
Steam-Murray Gill #3,312,160,401,Kansas Gas and Electric Company,Line 44,80,2018,1,44,44,,312.1,106,15.9,-0.6,5.55,200-SC,8.9,
Steam-Murray Gill #3,314,160,401,Kansas Gas and Electric Company,Line 45,80,2018,1,45,45,,314,4891,27.5,-0.2,2.56,200-SC,8.9,
Steam-Murray Gill #3,315,160,401,Kansas Gas and Electric Company,Line 46,80,2018,1,46,46,,315,791,41.9,0.7,1,200-SC,8.9,
Steam-Murray Gill #3,316,160,401,Kansas Gas and Electric Company,Line 47,80,2018,1,47,47,,316,9,24.1,-0.2,3.04,200-SC,8.9,
0,316,160,,Kansas Gas and Electric Company,Line 49,80,2018,1,49,49,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 50,80,2018,1,50,50,,Steam-Murray Gill #4,,0,0,0,,0,
Steam-Murray Gill #4,311,160,401,Kansas Gas and Electric Company,Line 12,80,2018,2,12,12,,311,213,62.2,-0.7,0.08,200-SC,8.9,
Steam-Murray Gill #4,312,160,401,Kansas Gas and Electric Company,Line 13,80,2018,2,13,13,,312,3962,27.2,-0.7,2.66,200-SC,8.9,
Steam-Murray Gill #4,312,160,401,Kansas Gas and Electric Company,Line 14,80,2018,2,14,14,,312.1,84,16.4,-0.6,5.3,200-SC,8.9,
Steam-Murray Gill #4,314,160,401,Kansas Gas and Electric Company,Line 15,80,2018,2,15,15,,314,2788,39.6,-0.2,1.15,200-SC,8.9,
Steam-Murray Gill #4,315,160,401,Kansas Gas and Electric Company,Line 16,80,2018,2,16,16,,315,643,27.8,-0.7,2.42,200-SC,8.9,
Steam-Murray Gill #4,316,160,401,Kansas Gas and Electric Company,Line 17,80,2018,2,17,17,,316,4,24.1,-0.2,3.04,200-SC,8.9,
0,316,160,,Kansas Gas and Electric Company,Line 19,80,2018,2,19,19,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 20,80,2018,2,20,20,,Steam-Murray Gill Com.,,0,0,0,,0,TRUE
Steam-Murray Gill Com.,311,160,401,Kansas Gas and Electric Company,Line 21,80,2018,2,21,21,,311,2570,27.7,-0.7,2.67,200-SC,8.9,
Steam-Murray Gill Com.,312,160,401,Kansas Gas and Electric Company,Line 22,80,2018,2,22,22,,312,1862,31.8,-0.7,2.41,200-SC,8.9,
Steam-Murray Gill Com.,312,160,401,Kansas Gas and Electric Company,Line 23,80,2018,2,23,23,,312.1,569,26.1,-0.6,6.37,200-SC,8.9,
Steam-Murray Gill Com.,314,160,401,Kansas Gas and Electric Company,Line 24,80,2018,2,24,24,,314,487,32.2,-0.2,1.86,200-SC,8.9,
Steam-Murray Gill Com.,315,160,401,Kansas Gas and Electric Company,Line 25,80,2018,2,25,25,,315,948,21.5,-0.6,4.33,200-SC,8.9,
Steam-Murray Gill Com.,316,160,401,Kansas Gas and Electric Company,Line 26,80,2018,2,26,26,,316,865,27.3,-0.2,2.48,200-SC,8.9,
0,316,160,,Kansas Gas and Electric Company,Line 30,80,2018,2,30,30,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 31,80,2018,2,31,31,,Steam-Gordon Evans # 1,,0,0,0,,0,
Steam-Gordon Evans # 1,311,160,244,Kansas Gas and Electric Company,Line 32,80,2018,2,32,32,,311,203,56.9,-0.9,0.58,200-SC,10.9,
Steam-Gordon Evans # 1,312,160,244,Kansas Gas and Electric Company,Line 33,80,2018,2,33,33,,312,7052,28,-0.8,2.93,200-SC,10.9,
Steam-Gordon Evans # 1,312,160,244,Kansas Gas and Electric Company,Line 34,80,2018,2,34,34,,312.1,311,14.1,-0.8,8.27,200-SC,10.9,
Steam-Gordon Evans # 1,314,160,244,Kansas Gas and Electric Company,Line 35,80,2018,2,35,35,,314,6279,29.5,-0.3,2.65,200-SC,10.9,
Steam-Gordon Evans # 1,315,160,244,Kansas Gas and Electric Company,Line 36,80,2018,2,36,36,,315,1195,24.3,-0.8,3.37,200-SC,10.9,
Steam-Gordon Evans # 1,316,160,244,Kansas Gas and Electric Company,Line 37,80,2018,2,37,37,,316,14,27.9,-0.3,2.7,200-SC,10.9,
0,316,160,,Kansas Gas and Electric Company,Line 39,80,2018,2,39,39,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 40,80,2018,2,40,40,,Steam-Gordon Evans #2,,0,0,0,,0,
Steam-Gordon Evans #2,311,160,244,Kansas Gas and Electric Company,Line 41,80,2018,2,41,41,,311,346,40.4,-0.8,1.42,200-SC,10.9,
Steam-Gordon Evans #2,312,160,244,Kansas Gas and Electric Company,Line 42,80,2018,2,42,42,,312,11721,26.4,-0.8,3.52,200-SC,10.9,
Steam-Gordon Evans #2,312,160,244,Kansas Gas and Electric Company,Line 43,80,2018,2,43,43,,312.1,130,19.7,-0.8,4.46,200-SC,10.9,
Steam-Gordon Evans #2,314,160,244,Kansas Gas and Electric Company,Line 44,80,2018,2,44,44,,314,14454,22,-0.3,3.89,200-SC,10.9,
Steam-Gordon Evans #2,315,160,244,Kansas Gas and Electric Company,Line 45,80,2018,2,45,45,,315,3057,16,-0.8,5.83,200-SC,10.9,
Steam-Gordon Evans #2,316,160,244,Kansas Gas and Electric Company,Line 46,80,2018,2,46,46,,316,237,13.9,-0.3,6.91,200-SC,10.9,
0,316,160,,Kansas Gas and Electric Company,Line 48,80,2018,2,48,48,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 49,80,2018,2,49,49,,Steam-G. Evans Common,,0,0,0,,0,
Steam-G. Evans Common,311,160,,Kansas Gas and Electric Company,Line 50,80,2018,2,50,50,,311,2452,29.8,-0.8,2.55,200-SC,10.9,
Steam-G. Evans Common,312,160,,Kansas Gas and Electric Company,Line 12,80,2018,3,12,12,,312,2425,26.9,-0.8,3.29,200-SC,10.9,
Steam-G. Evans Common,312,160,,Kansas Gas and Electric Company,Line 13,80,2018,3,13,13,,312.1,355,28.8,-0.8,2.58,200-SC,10.9,
Steam-G. Evans Common,314,160,,Kansas Gas and Electric Company,Line 14,80,2018,3,14,14,,314,485,25,-0.3,3.46,200-SC,10.9,
Steam-G. Evans Common,315,160,,Kansas Gas and Electric Company,Line 15,80,2018,3,15,15,,315,1893,22.7,-0.8,0.95,200-SC,10.9,
Steam-G. Evans Common,316,160,,Kansas Gas and Electric Company,Line 16,80,2018,3,16,16,,316,1241,21.6,-0.3,3.92,200-SC,10.9,
0,316,160,,Kansas Gas and Electric Company,Line 19,80,2018,3,19,19,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 20,80,2018,3,20,20,,Nuclear-Wolf Creek,,0,0,0,,0,
Nuclear-Wolf Creek,321,160,652,Kansas Gas and Electric Company,Line 21,80,2018,3,21,21,,321,435314,53.6,-1.5,1.6,200-SC,27.4,
Nuclear-Wolf Creek,322,160,652,Kansas Gas and Electric Company,Line 22,80,2018,3,22,22,,322,920683,42.7,-0.4,2.14,200-SC,27.4,
Nuclear-Wolf Creek,323,160,652,Kansas Gas and Electric Company,Line 23,80,2018,3,23,23,,323,217831,39.1,0,2.38,200-SC,27.5,
Nuclear-Wolf Creek,324,160,652,Kansas Gas and Electric Company,Line 24,80,2018,3,24,24,,324,156538,49.2,0,1.77,200-SC,27.4,
Nuclear-Wolf Creek,325,160,652,Kansas Gas and Electric Company,Line 25,80,2018,3,25,25,,325,105885,38.4,0,2.44,200-SC,27.5,
0,325,160,,Kansas Gas and Electric Company,Line 27,80,2018,3,27,27,,Production,,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 28,80,2018,3,28,28,,Diesel Gen-G. Evans,,0,0,0,,0,
Diesel Gen-G. Evans,344,160,244,Kansas Gas and Electric Company,Line 29,80,2018,3,29,29,,344,1603,43.6,-0.8,1.77,200-SC,29.3,
0,344,160,,Kansas Gas and Electric Company,Line 32,80,2018,3,32,32,,SUBTOTAL,3037752,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 34,80,2018,3,34,34,,Transmission,,0,0,0,,0,
Transmission,352,160,,Kansas Gas and Electric Company,Line 35,80,2018,3,35,35,,352,30044,55,-10,2.68,S2,37.3,
Transmission,352,160,,Kansas Gas and Electric Company,Line 36,80,2018,3,36,36,,352,296,56.65,-4.4,2.68,65-R4,31.37,
Transmission,352,160,,Kansas Gas and Electric Company,Line 37,80,2018,3,37,37,,352.6,38,55,-10,6.67,S2,15,
Transmission,353,160,,Kansas Gas and Electric Company,Line 38,80,2018,3,38,38,,353,312145,58,-10,1.54,R1.5,64.9,
Transmission,353,160,,Kansas Gas and Electric Company,Line 39,80,2018,3,39,39,,353,20113,52.6,-4.9,1.54,65-R2,29.85,
Transmission,353,160,,Kansas Gas and Electric Company,Line 40,80,2018,3,40,40,,353.6,3928,58,-10,6.67,R1.5,15,
Transmission,354,160,,Kansas Gas and Electric Company,Line 41,80,2018,3,41,41,,354,6799,65,-30,3.51,R3,28.5,
Transmission,355,160,,Kansas Gas and Electric Company,Line 42,80,2018,3,42,42,,355,391860,50,-25,3.19,R1.5,31.3,
Transmission,355,160,,Kansas Gas and Electric Company,Line 43,80,2018,3,43,43,,355,58,45.9,-21.8,3.19,55-R2,28.59,
Transmission,355,160,,Kansas Gas and Electric Company,Line 44,80,2018,3,44,44,,355.6,46036,50,-25,6.67,R1.5,15,
Transmission,356,160,,Kansas Gas and Electric Company,Line 45,80,2018,3,45,45,,356,164655,50,-15,2.05,R2,48.8,
Transmission,356,160,,Kansas Gas and Electric Company,Line 46,80,2018,3,46,46,,356,39,41.08,-13.1,2.05,60-R2.5,31.53,
Transmission,356,160,,Kansas Gas and Electric Company,Line 47,80,2018,3,47,47,,356.6,13518,50,-15,6.67,R2,15,
Transmission,357,160,,Kansas Gas and Electric Company,Line 48,80,2018,3,48,48,,357,450,65,0,1.5,R3,66.7,
Transmission,358,160,,Kansas Gas and Electric Company,Line 49,80,2018,3,49,49,,358,1843,49,0,2.1,R4,47.6,
Transmission,359,160,,Kansas Gas and Electric Company,Line 50,80,2018,3,50,50,,359,20,65,0,1.56,R4,64.1,
0,359,160,,Kansas Gas and Electric Company,Line 13,80,2018,4,13,13,,SUBTOTAL,991842,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 15,80,2018,4,15,15,,DISTRIBUTION,,0,0,0,,0,
DISTRIBUTION,361,160,,Kansas Gas and Electric Company,Line 16,80,2018,4,16,16,,361,9477,65.4,-20,1.78,R2.5,50.3,
DISTRIBUTION,362,160,,Kansas Gas and Electric Company,Line 17,80,2018,4,17,17,,362,133699,65.4,-15,1.72,S0.5,52,
DISTRIBUTION,364,160,,Kansas Gas and Electric Company,Line 18,80,2018,4,18,18,,364,201710,61.4,-50,2.49,R0.5,50.9,
DISTRIBUTION,365,160,,Kansas Gas and Electric Company,Line 19,80,2018,4,19,19,,365,172995,66.6,-75,2.61,R1,52.4,
DISTRIBUTION,366,160,,Kansas Gas and Electric Company,Line 20,80,2018,4,20,20,,366.1,3658,70.6,-35,1.81,R2.5,46.4,
DISTRIBUTION,366,160,,Kansas Gas and Electric Company,Line 21,80,2018,4,21,21,,366.2,51008,70.2,-35,1.86,R2.5,56.1,
DISTRIBUTION,367,160,,Kansas Gas and Electric Company,Line 22,80,2018,4,22,22,,367.1,9825,56.4,-35,2.34,R1.5,40.3,
DISTRIBUTION,367,160,,Kansas Gas and Electric Company,Line 23,80,2018,4,23,23,,367.2,136655,55.7,-30,2.29,R1.5,43.9,
DISTRIBUTION,368,160,,Kansas Gas and Electric Company,Line 24,80,2018,4,24,24,,368,115682,47.1,-10,2.26,S0,33.4,
DISTRIBUTION,368,160,,Kansas Gas and Electric Company,Line 25,80,2018,4,25,25,,368.1,104808,50.6,-5,2,L1.5,38.2,
DISTRIBUTION,368,160,,Kansas Gas and Electric Company,Line 26,80,2018,4,26,26,,368.2,7311,52.2,-30,2.45,R0.5,40.5,
DISTRIBUTION,369,160,,Kansas Gas and Electric Company,Line 27,80,2018,4,27,27,,369.1,29502,63.3,-40,2.11,R1,42.3,
DISTRIBUTION,369,160,,Kansas Gas and Electric Company,Line 28,80,2018,4,28,28,,369.2,744,64.7,-40,1.96,R1,32.9,
DISTRIBUTION,369,160,,Kansas Gas and Electric Company,Line 29,80,2018,4,29,29,,369.3,63899,61.3,-40,2.22,R1,46.7,
DISTRIBUTION,370,160,,Kansas Gas and Electric Company,Line 30,80,2018,4,30,30,,370,11725,36.92,-5,2.3,SC,24.34,
DISTRIBUTION,370,160,,Kansas Gas and Electric Company,Line 31,80,2018,4,31,31,,370.1,51609,25,0,3.99,S3,24.4,
DISTRIBUTION,372,160,,Kansas Gas and Electric Company,Line 32,80,2018,4,32,32,,372,12291,27.1,-25,4.69,SC,19,
DISTRIBUTION,373,160,,Kansas Gas and Electric Company,Line 33,80,2018,4,33,33,,373,42774,32.6,-20,3.64,SC,24.4,
0,373,160,,Kansas Gas and Electric Company,Line 35,80,2018,4,35,35,,SUBTOTAL,1159372,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 37,80,2018,4,37,37,,GENERAL PLANT,,0,0,0,,0,
GENERAL PLANT,390,160,,Kansas Gas and Electric Company,Line 38,80,2018,4,38,38,,390.1,46877,45.9,-5,1.19,L0.5,34.3,
GENERAL PLANT,390,160,,Kansas Gas and Electric Company,Line 39,80,2018,4,39,39,,390.1,423,45.9,-5,1.19,L0.5,34.3,
GENERAL PLANT,391,160,,Kansas Gas and Electric Company,Line 40,80,2018,4,40,40,,391,4901,25,0,4,SQ,17.5,
GENERAL PLANT,391,160,,Kansas Gas and Electric Company,Line 41,80,2018,4,41,41,,391,12151,25,0,3.78,SQ,17.2,
GENERAL PLANT,391,160,,Kansas Gas and Electric Company,Line 42,80,2018,4,42,42,,391.1,3970,25,0,13.95,SQ,2.5,
GENERAL PLANT,391,160,,Kansas Gas and Electric Company,Line 43,80,2018,4,43,43,,391.1,4150,25,0,13.95,SQ,2.5,
GENERAL PLANT,392,160,,Kansas Gas and Electric Company,Line 44,80,2018,4,44,44,,392,6633,13.2,0,6.12,O4,11.7,
GENERAL PLANT,393,160,,Kansas Gas and Electric Company,Line 45,80,2018,4,45,45,,393,1095,25,0,4,SQ,15.2,
GENERAL PLANT,394,160,,Kansas Gas and Electric Company,Line 46,80,2018,4,46,46,,394,9743,25,0,4,SQ,19.1,
GENERAL PLANT,395,160,,Kansas Gas and Electric Company,Line 47,80,2018,4,47,47,,395,36,25,0,4,SQ,14.4,
GENERAL PLANT,396,160,,Kansas Gas and Electric Company,Line 48,80,2018,4,48,48,,396,2883,20.6,5,0.42,SC,14.5,
GENERAL PLANT,397,160,,Kansas Gas and Electric Company,Line 49,80,2018,4,49,49,,397,51905,15,0,3.33,SQ,6.4,
GENERAL PLANT,397,160,,Kansas Gas and Electric Company,Line 50,80,2018,4,50,50,,397,244,15,0,0.33,SQ,12.5,
GENERAL PLANT,398,160,,Kansas Gas and Electric Company,Line 12,80,2018,5,12,12,,398,995,15,0,5.39,SQ,13.5,
0,398,160,,Kansas Gas and Electric Company,Line 14,80,2018,5,14,14,,SUBTOTAL,146006,0,0,0,,0,
0,0,160,,Kansas Gas and Electric Company,Line 16,80,2018,5,16,16,,TOTAL,5334972,0,0,0,,0,
STEAM -- COAL/LIGNITE,0,162,,Kentucky Power Company,Line 12,81,2018,0,12,12,,STEAM -- COAL/LIGNITE,,0,0,0,,0,
Big Sandy,311,162,53,Kentucky Power Company,Line 13,81,2018,0,13,13,,311 - Big Sandy,14737,0,2,3.06,,0,
Mitchell,311,162,382,Kentucky Power Company,Line 14,81,2018,0,14,14,,311 - Mitchell,55588,0,3,2.58,,0,
Big Sandy,312,162,53,Kentucky Power Company,Line 15,81,2018,0,15,15,,312 - Big Sandy,77734,0,2,4.45,,0,
Mitchell,312,162,382,Kentucky Power Company,Line 16,81,2018,0,16,16,,312 - Mitchell,860841,0,3,2.96,,0,
Mitchell SCR,312,162,,Kentucky Power Company,Line 17,81,2018,0,17,17,,312 - Mitchell SCR,8255,0,3,12.5,,0,
Big Sandy,314,162,53,Kentucky Power Company,Line 18,81,2018,0,18,18,,314 - Big Sandy,62385,0,2,2.78,,0,
Mitchell,314,162,382,Kentucky Power Company,Line 19,81,2018,0,19,19,,314 - Mitchell,54964,0,3,1.67,,0,
Big Sandy,315,162,53,Kentucky Power Company,Line 20,81,2018,0,20,20,,315 - Big Sandy,4707,0,2,1.77,,0,
Mitchell,315,162,382,Kentucky Power Company,Line 21,81,2018,0,21,21,,315 - Mitchell,25609,0,3,1.49,,0,
Big Sandy,316,162,53,Kentucky Power Company,Line 22,81,2018,0,22,22,,316 - Big Sandy,3783,0,2,2.82,,0,
Mitchell,316,162,382,Kentucky Power Company,Line 23,81,2018,0,23,23,,316 - Mitchell,8674,0,3,2.63,,0,
TOTAL COAL/LIGNITE,316,162,,Kentucky Power Company,Line 24,81,2018,0,24,24,,TOTAL COAL/LIGNITE,1177277,0,0,0,,0,
TRANSMISSION,0,162,,Kentucky Power Company,Line 26,81,2018,0,26,26,,TRANSMISSION,,0,0,0,,0,
0,350,162,,Kentucky Power Company,Line 27,81,2018,0,27,27,,350.1,31426,75,0,1.44,R4,0,
0,352,162,,Kentucky Power Company,Line 28,81,2018,0,28,28,,352,6987,60,10,2.08,S3,0,
Big Sandy,352,162,53,Kentucky Power Company,Line 29,81,2018,0,29,29,,352 - Big Sandy,10,60,10,2.08,S3,0,
Mitchell,352,162,382,Kentucky Power Company,Line 30,81,2018,0,30,30,,352 - Mitchell,72,60,10,2.08,S3,0,
0,353,162,,Kentucky Power Company,Line 31,81,2018,0,31,31,,353,194887,50,3,2.15,L0.5,0,
Big Sandy,353,162,53,Kentucky Power Company,Line 32,81,2018,0,32,32,,353 - Big Sandy,603,50,3,2.15,L0.5,0,
Mitchell,353,162,382,Kentucky Power Company,Line 33,81,2018,0,33,33,,353 - Mitchell,9513,50,3,2.15,L0.5,0,
0,353,162,,Kentucky Power Company,Line 34,81,2018,0,34,34,,353.16,727,50,3,2.15,L0.5,0,
0,354,162,,Kentucky Power Company,Line 35,81,2018,0,35,35,,354,99712,51,10,2.61,S6,0,
0,355,162,,Kentucky Power Company,Line 36,81,2018,0,36,36,,355,113197,43,61,3.95,L3,0,
0,356,162,,Kentucky Power Company,Line 37,81,2018,0,37,37,,356,139252,50,27,2.91,S6,0,
0,356,162,,Kentucky Power Company,Line 38,81,2018,0,38,38,,356.16,487,50,27,2.91,S6,0,
0,357,162,,Kentucky Power Company,Line 39,81,2018,0,39,39,,357,12,37,0,2.99,R2,0,
0,358,162,,Kentucky Power Company,Line 40,81,2018,0,40,40,,358,106,44,0,2.62,R1,0,
TOTAL TRANSMISSION,358,162,,Kentucky Power Company,Line 41,81,2018,0,41,41,,TOTAL TRANSMISSION,596991,0,0,0,,0,
DISTRIBUTION,0,162,,Kentucky Power Company,Line 43,81,2018,0,43,43,,DISTRIBUTION,,0,0,0,,0,
0,360,162,,Kentucky Power Company,Line 44,81,2018,0,44,44,,360.1,5402,75,0,3.52,R4,0,
0,361,162,,Kentucky Power Company,Line 45,81,2018,0,45,45,,361,5201,65,0,3.52,L0.5,0,
0,362,162,,Kentucky Power Company,Line 46,81,2018,0,46,46,,362,110732,25,-25,3.52,L0,0,
0,362,162,,Kentucky Power Company,Line 47,81,2018,0,47,47,,362.16,123,25,-25,3.52,L0,0,
0,364,162,,Kentucky Power Company,Line 48,81,2018,0,48,48,,364,212277,28,0,3.52,L0,0,
0,365,162,,Kentucky Power Company,Line 49,81,2018,0,49,49,,365,239118,26,-25,3.52,R1.5,0,
0,366,162,,Kentucky Power Company,Line 50,81,2018,0,50,50,,366,7344,37,0,3.52,R2,0,
0,367,162,,Kentucky Power Company,Line 12,81,2018,1,12,12,,367,11538,44,0,3.52,R1,0,
0,368,162,,Kentucky Power Company,Line 13,81,2018,1,13,13,,368,136865,25,-15,3.52,R1.5,0,
0,369,162,,Kentucky Power Company,Line 14,81,2018,1,14,14,,369,62807,18,0,3.52,R2,0,
0,370,162,,Kentucky Power Company,Line 15,81,2018,1,15,15,,370,25085,27,0,3.52,R0.5,0,
0,371,162,,Kentucky Power Company,Line 16,81,2018,1,16,16,,371,19135,11,-30,3.52,L0,0,
0,373,162,,Kentucky Power Company,Line 17,81,2018,1,17,17,,373,4121,15,-15,3.52,L0,0,
TOTAL DISTRIBUTION,373,162,,Kentucky Power Company,Line 18,81,2018,1,18,18,,TOTAL DISTRIBUTION,839748,0,0,0,,0,
GENERAL PLANT,0,162,,Kentucky Power Company,Line 20,81,2018,1,20,20,,GENERAL PLANT,,0,0,0,,0,
0,389,162,,Kentucky Power Company,Line 21,81,2018,1,21,21,,389.1,36,75,0,1.59,R4,0,
0,390,162,,Kentucky Power Company,Line 22,81,2018,1,22,22,,390,23361,35,0,3.97,L2,0,
0,391,162,,Kentucky Power Company,Line 23,81,2018,1,23,23,,391,2051,35,0,3.2,SQ,0,
0,392,162,,Kentucky Power Company,Line 24,81,2018,1,24,24,,392,15,30,0,3.52,SQ,0,
0,393,162,,Kentucky Power Company,Line 25,81,2018,1,25,25,,393,262,30,0,4.15,SQ,0,
0,394,162,,Kentucky Power Company,Line 26,81,2018,1,26,26,,394,5290,30,9,4.2,SQ,0,
0,395,162,,Kentucky Power Company,Line 27,81,2018,1,27,27,,395,261,30,0,5.76,SQ,0,
0,396,162,,Kentucky Power Company,Line 28,81,2018,1,28,28,,396,6,25,0,5.43,SQ,0,
0,397,162,,Kentucky Power Company,Line 29,81,2018,1,29,29,,397,12851,22,-3,5.66,SQ,0,
0,397,162,,Kentucky Power Company,Line 30,81,2018,1,30,30,,397.16,1168,22,-3,5.66,SQ,0,
0,398,162,,Kentucky Power Company,Line 31,81,2018,1,31,31,,398,1801,20,3,6.73,SQ,0,
TOTAL GENERAL,398,162,,Kentucky Power Company,Line 32,81,2018,1,32,32,,TOTAL GENERAL,47102,0,0,0,,0,
DEPRECIABLE SUM,0,162,,Kentucky Power Company,Line 34,81,2018,1,34,34,,DEPRECIABLE SUM,2661118,0,0,0,,0,
0,0,163,,Kentucky Utilities Company,Line 12,82,2017,0,12,12,,Intangible Plant,,0,0,0,,0,
Organization,301,163,,Kentucky Utilities Company,Line 13,82,2017,0,13,13,,301 Organization,44,0,0,0,,0,
Frnchses & Consent,302,163,,Kentucky Utilities Company,Line 14,82,2017,0,14,14,,302 Frnchses & Consent,56,20,0,3.63,20-SQ,1.6,
Misc Intgbl Plant,303,163,,Kentucky Utilities Company,Line 15,82,2017,0,15,15,,303 Misc Intgbl Plant,58409,5,0,20.96,5-SQ,3.1,
CCS Software,303,163,,Kentucky Utilities Company,Line 16,82,2017,0,16,16,,303.10 CCS Software,55494,25,0,10.06,SQUARE,3.5,
0,303,163,,Kentucky Utilities Company,Line 18,82,2017,0,18,18,,Steam Production Plant,,0,0,0,,0,
Land,310,163,,Kentucky Utilities Company,Line 19,82,2017,0,19,19,,310 Land,24171,0,0,0,,0,
0,311,163,,Kentucky Utilities Company,Line 21,82,2017,0,21,21,,311 Strctrs & Imprvmts,,0,0,0,,0,
Tyrone Unit 3,311,163,,Kentucky Utilities Company,Line 22,82,2017,0,22,22,,5603 Tyrone Unit 3,1631,100,-10,0,100-R2.5,0,
Tyrone Units 1&2,0,163,,Kentucky Utilities Company,Line 23,82,2017,0,23,23,,5604 Tyrone Units 1&2,583,100,-10,0,100-R2.5,0,
Green Rvr Unit 3,0,163,236,Kentucky Utilities Company,Line 24,82,2017,0,24,24,,5613 Green Rvr Unit 3,2420,100,-10,0,100-R2.5,0,
Green Rvr Unit 4,0,163,236,Kentucky Utilities Company,Line 25,82,2017,0,25,25,,5614 Green Rvr Unit 4,4445,100,-10,0,100-R2.5,0,
Green Rvr Unt 1&2,0,163,,Kentucky Utilities Company,Line 26,82,2017,0,26,26,,5615 Green Rvr Unt 1&2,1559,100,-10,0,100-R2.5,0,
Brown Unit 1,0,163,86,Kentucky Utilities Company,Line 27,82,2017,0,27,27,,5621 Brown Unit 1,4677,100,-6,0.05,100-R2.5,7.5,
